ID, x, y, ux, uy, damage
344,-28.5,-21.5,0,0,0
345,-28.5,-20.5,0,0,0
346,-28.5,-19.5,0,0,0
347,-28.5,-18.5,0,0,0
348,-28.5,-17.5,0,0,0
349,-28.5,-16.5,0,0,0
350,-28.5,-15.5,0,0,0
351,-28.5,-14.5,0,0,0
352,-28.5,-13.5,0,0,0
353,-28.5,-12.5,0,0,0
354,-28.5,-11.5,0,0,0
355,-28.5,-10.5,0,0,0
356,-28.5,-9.5,0,0,0
357,-28.5,-8.5,0,0,0
358,-28.5,-7.5,0,0,0
359,-28.5,-6.5,0,0,0
360,-28.5,-5.5,0,0,0
361,-28.5,-4.5,0,0,0
362,-28.5,-3.5,0,0,0
363,-28.5,-2.5,0,0,0
392,-27.5,-29.5,0,0,0
393,-27.5,-28.5,0,0,0
394,-27.5,-27.5,0,0,0
395,-27.5,-26.5,0,0,0
396,-27.5,-25.5,0,0,0
397,-27.5,-24.5,0,0,0
398,-27.5,-23.5,0,0,0
399,-27.5,-22.5,0,0,0
400,-27.5,-21.5,0,0,0
401,-27.5,-20.5,0,0,0
402,-27.5,-19.5,0,0,0
403,-27.5,-18.5,0,0,0
404,-27.5,-17.5,0,0,0
405,-27.5,-16.5,0,0,0
406,-27.5,-15.5,0,0,0
407,-27.5,-14.5,0,0,0
408,-27.5,-13.5,0,0,0
409,-27.5,-12.5,0,0,0
410,-27.5,-11.5,0,0,0
411,-27.5,-10.5,0,0,0
412,-27.5,-9.5,0,0,0
413,-27.5,-8.5,0,0,0
414,-27.5,-7.5,0,0,0
415,-27.5,-6.5,0,0,0
416,-27.5,-5.5,0,0,0
417,-27.5,-4.5,0,0,0
418,-27.5,-3.5,0,0,0
419,-27.5,-2.5,0,0,0
449,-26.5,-28.5,0,0,0
450,-26.5,-27.5,0,0,0
451,-26.5,-26.5,0,0,0
452,-26.5,-25.5,0,0,0
453,-26.5,-24.5,0,0,0
454,-26.5,-23.5,0,0,0
455,-26.5,-22.5,0,0,0
456,-26.5,-21.5,0,0,0
457,-26.5,-20.5,0,0,0
458,-26.5,-19.5,0,0,0
459,-26.5,-18.5,0,0,0
460,-26.5,-17.5,0,0,0
461,-26.5,-16.5,0,0,0
462,-26.5,-15.5,0,0,0
463,-26.5,-14.5,0,0,0
464,-26.5,-13.5,0,0,0
465,-26.5,-12.5,0,0,0
466,-26.5,-11.5,0,0,0
467,-26.5,-10.5,0,0,0
468,-26.5,-9.5,0,0,0
469,-26.5,-8.5,0,0,0
470,-26.5,-7.5,0,0,0
471,-26.5,-6.5,0,0,0
472,-26.5,-5.5,0,0,0
473,-26.5,-4.5,0,0,0
474,-26.5,-3.5,0,0,0
475,-26.5,-2.5,0,0,0
510,-25.5,-23.5,0,0,0
511,-25.5,-22.5,0,0,0
512,-25.5,-21.5,0,0,0
513,-25.5,-20.5,0,0,0
514,-25.5,-19.5,0,0,0
515,-25.5,-18.5,0,0,0
516,-25.5,-17.5,0,0,0
517,-25.5,-16.5,0,0,0
518,-25.5,-15.5,0,0,0
519,-25.5,-14.5,0,0,0
520,-25.5,-13.5,0,0,0
521,-25.5,-12.5,0,0,0
522,-25.5,-11.5,0,0,0
523,-25.5,-10.5,0,0,0
524,-25.5,-9.5,0,0,0
525,-25.5,-8.5,0,0,0
526,-25.5,-7.5,0,0,0
527,-25.5,-6.5,0,0,0
528,-25.5,-5.5,0,0,0
529,-25.5,-4.5,0,0,0
530,-25.5,-3.5,0,0,0
531,-25.5,-2.5,0,0,0
569,-24.5,-20.5,0,0,0
570,-24.5,-19.5,0,0,0
571,-24.5,-18.5,0,0,0
572,-24.5,-17.5,0,0,0
573,-24.5,-16.5,0,0,0
574,-24.5,-15.5,0,0,0
575,-24.5,-14.5,0,0,0
576,-24.5,-13.5,0,0,0
577,-24.5,-12.5,0,0,0
578,-24.5,-11.5,0,0,0
579,-24.5,-10.5,0,0,0
580,-24.5,-9.5,0,0,0
581,-24.5,-8.5,0,0,0
582,-24.5,-7.5,0,0,0
583,-24.5,-6.5,0,0,0
584,-24.5,-5.5,0,0,0
585,-24.5,-4.5,0,0,0
586,-24.5,-3.5,0,0,0
587,-24.5,-2.5,0,0,0
627,-23.5,-18.5,0,0,0
628,-23.5,-17.5,0,0,0
629,-23.5,-16.5,0,0,0
630,-23.5,-15.5,0,0,0
631,-23.5,-14.5,0,0,0
632,-23.5,-13.5,0,0,0
633,-23.5,-12.5,0,0,0
634,-23.5,-11.5,0,0,0
635,-23.5,-10.5,0,0,0
636,-23.5,-9.5,0,0,0
637,-23.5,-8.5,0,0,0
638,-23.5,-7.5,0,0,0
639,-23.5,-6.5,0,0,0
640,-23.5,-5.5,0,0,0
641,-23.5,-4.5,0,0,0
642,-23.5,-3.5,0,0,0
643,-23.5,-2.5,0,0,0
685,-22.5,-16.5,0,0,0
686,-22.5,-15.5,0,0,0
687,-22.5,-14.5,0,0,0
688,-22.5,-13.5,0,0,0
689,-22.5,-12.5,0,0,0
690,-22.5,-11.5,0,0,0
691,-22.5,-10.5,0,0,0
692,-22.5,-9.5,0,0,0
693,-22.5,-8.5,0,0,0
694,-22.5,-7.5,0,0,0
695,-22.5,-6.5,0,0,0
696,-22.5,-5.5,0,0,0
697,-22.5,-4.5,0,0,0
698,-22.5,-3.5,0,0,0
699,-22.5,-2.5,0,0,0
742,-21.5,-15.5,0,0,0
743,-21.5,-14.5,0,0,0
744,-21.5,-13.5,0,0,0
745,-21.5,-12.5,0,0,0
746,-21.5,-11.5,0,0,0
747,-21.5,-10.5,0,0,0
748,-21.5,-9.5,0,0,0
749,-21.5,-8.5,0,0,0
750,-21.5,-7.5,0,0,0
751,-21.5,-6.5,0,0,0
752,-21.5,-5.5,0,0,0
753,-21.5,-4.5,0,0,0
754,-21.5,-3.5,0,0,0
755,-21.5,-2.5,0,0,0
800,-20.5,-13.5,0,0,0
801,-20.5,-12.5,0,0,0
802,-20.5,-11.5,0,0,0
803,-20.5,-10.5,0,0,0
804,-20.5,-9.5,0,0,0
805,-20.5,-8.5,0,0,0
806,-20.5,-7.5,0,0,0
807,-20.5,-6.5,0,0,0
808,-20.5,-5.5,0,0,0
859,-19.5,-10.5,0,0,0
39,-34.5,13.5,0,0,0
40,-34.5,14.5,0,0,0
41,-34.5,15.5,0,0,0
42,-34.5,16.5,0,0,0
43,-34.5,17.5,0,0,0
44,-34.5,18.5,0,0,0
45,-34.5,19.5,0,0,0
46,-34.5,20.5,0,0,0
47,-34.5,21.5,0,0,0
48,-34.5,22.5,0,0,0
49,-34.5,23.5,0,0,0
50,-34.5,24.5,0,0,0
51,-34.5,25.5,0,0,0
52,-34.5,26.5,0,0,0
53,-34.5,27.5,0,0,0
54,-34.5,28.5,0,0,0
55,-34.5,29.5,0,5e-09,0
95,-33.5,13.5,0,0,0
96,-33.5,14.5,0,0,0
97,-33.5,15.5,0,0,0
98,-33.5,16.5,0,0,0
99,-33.5,17.5,0,0,0
100,-33.5,18.5,0,0,0
101,-33.5,19.5,0,0,0
102,-33.5,20.5,0,0,0
103,-33.5,21.5,0,0,0
104,-33.5,22.5,0,0,0
105,-33.5,23.5,0,0,0
106,-33.5,24.5,0,0,0
107,-33.5,25.5,0,0,0
108,-33.5,26.5,0,0,0
109,-33.5,27.5,0,0,0
110,-33.5,28.5,0,0,0
111,-33.5,29.5,0,5e-09,0
151,-32.5,13.5,0,0,0
152,-32.5,14.5,0,0,0
153,-32.5,15.5,0,0,0
154,-32.5,16.5,0,0,0
155,-32.5,17.5,0,0,0
156,-32.5,18.5,0,0,0
157,-32.5,19.5,0,0,0
158,-32.5,20.5,0,0,0
159,-32.5,21.5,0,0,0
160,-32.5,22.5,0,0,0
161,-32.5,23.5,0,0,0
162,-32.5,24.5,0,0,0
163,-32.5,25.5,0,0,0
164,-32.5,26.5,0,0,0
165,-32.5,27.5,0,0,0
166,-32.5,28.5,0,0,0
167,-32.5,29.5,0,5e-09,0
207,-31.5,13.5,0,0,0
208,-31.5,14.5,0,0,0
209,-31.5,15.5,0,0,0
210,-31.5,16.5,0,0,0
211,-31.5,17.5,0,0,0
212,-31.5,18.5,0,0,0
213,-31.5,19.5,0,0,0
214,-31.5,20.5,0,0,0
215,-31.5,21.5,0,0,0
216,-31.5,22.5,0,0,0
217,-31.5,23.5,0,0,0
218,-31.5,24.5,0,0,0
219,-31.5,25.5,0,0,0
220,-31.5,26.5,0,0,0
221,-31.5,27.5,0,0,0
222,-31.5,28.5,0,0,0
223,-31.5,29.5,0,5e-09,0
263,-30.5,13.5,0,0,0
264,-30.5,14.5,0,0,0
265,-30.5,15.5,0,0,0
266,-30.5,16.5,0,0,0
267,-30.5,17.5,0,0,0
268,-30.5,18.5,0,0,0
269,-30.5,19.5,0,0,0
270,-30.5,20.5,0,0,0
271,-30.5,21.5,0,0,0
272,-30.5,22.5,0,0,0
273,-30.5,23.5,0,0,0
274,-30.5,24.5,0,0,0
275,-30.5,25.5,0,0,0
276,-30.5,26.5,0,0,0
277,-30.5,27.5,0,0,0
278,-30.5,28.5,0,0,0
279,-30.5,29.5,0,5e-09,0
319,-29.5,13.5,0,0,0
320,-29.5,14.5,0,0,0
321,-29.5,15.5,0,0,0
322,-29.5,16.5,0,0,0
323,-29.5,17.5,0,0,0
324,-29.5,18.5,0,0,0
325,-29.5,19.5,0,0,0
326,-29.5,20.5,0,0,0
327,-29.5,21.5,0,0,0
328,-29.5,22.5,0,0,0
329,-29.5,23.5,0,0,0
330,-29.5,24.5,0,0,0
331,-29.5,25.5,0,0,0
332,-29.5,26.5,0,0,0
333,-29.5,27.5,0,0,0
334,-29.5,28.5,0,0,0
335,-29.5,29.5,0,5e-09,0
375,-28.5,13.5,0,0,0
376,-28.5,14.5,0,0,0
377,-28.5,15.5,0,0,0
378,-28.5,16.5,0,0,0
379,-28.5,17.5,0,0,0
380,-28.5,18.5,0,0,0
381,-28.5,19.5,0,0,0
382,-28.5,20.5,0,0,0
383,-28.5,21.5,0,0,0
384,-28.5,22.5,0,0,0
385,-28.5,23.5,0,0,0
386,-28.5,24.5,0,0,0
387,-28.5,25.5,0,0,0
388,-28.5,26.5,0,0,0
389,-28.5,27.5,0,0,0
